2.264587 6.472515
2.345387 6.104424
2.166641 5.392288
1.745778 6.530954
2.423586 5.719037
2.487721 5.762176
2.167894 6.261546
2.396449 5.670229
2.893310 5.514278
2.476725 5.942041
2.821326 5.056081
3.205005 4.951530
2.874041 5.756961
2.248931 4.540944
3.196439 4.936830
3.702967 4.944316
2.639186 4.771355
3.853784 4.205774
3.277584 4.392190
2.955844 4.388324
2.864599 4.773578
3.441792 3.159273
3.614105 3.257724
2.715309 3.121582
3.599644 3.484275
3.200671 4.714576
4.358546 3.738457
3.309741 2.848412
4.332118 3.097267
3.432185 2.931188
3.325939 2.330150
3.787818 2.474693
4.196366 1.906181
3.019690 1.589440
4.271103 1.733399
4.353454 1.278701
4.272264 1.063233
4.438062 2.124098
5.358273 1.842302
5.361824 1.074576
4.845648 1.422549
4.812350 1.848893
5.193757 0.769361
6.537636 1.427124
6.543152 1.309810
5.410602 1.248262
5.740819 1.990266
6.405439 1.313078
6.366062 1.013249
5.953991 1.889688
