1.233339 6.160169
1.375378 7.353077
1.512762 6.418664
2.093725 5.773847
2.280481 5.683793
2.719235 5.065384
3.066725 5.696957
2.632570 5.497655
2.247609 6.807953
2.663702 5.821701
2.523433 5.252275
3.205005 4.951530
2.920673 5.081937
2.663568 5.271032
3.548040 4.607630
3.194484 4.085217
3.211698 5.557522
3.504740 4.496956
3.989836 4.966481
4.252175 4.565362
3.694344 4.335070
3.689464 3.370887
3.856935 3.693466
3.546026 3.446935
2.813627 3.763556
3.620025 3.142031
4.827713 3.365176
4.264037 2.529712
3.976883 2.234434
4.730314 3.078931
2.956992 2.507112
3.560647 2.791110
3.931078 1.524452
4.644318 2.175742
5.130209 2.218388
4.952453 2.710882
4.928281 2.029449
4.573536 1.051564
4.836968 1.671993
5.997783 1.601432
4.798397 2.223453
4.871849 1.210817
5.551678 1.591843
6.068585 0.905415
5.791298 1.541078
5.411440 0.520724
5.448777 0.558876
6.321635 2.019331
7.081301 1.372303
6.174335 1.431821
